user,total_pnl_usd,trade_count,market_groups_traded,primary_group
0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,1370312.325547,9182,29,mlb_game
0xa9878e59934ab507f9039bcb917c1bae0451141d,1071549.945512,2882,25,other
0xee00ba338c59557141789b127927a55f5cc5cea1,1041618.9363650001,45971,105,mlb_game
0xea64572947a01f9938fd5474dc3b7d219352f2a2,996277.5652545,7853,43,other
0x91654fd592ea5339fc0b1b2f2b30bfffa5e75b98,890843.1240999999,334,6,nba_game
0x204f72f35326db932158cba6adff0b9a1da95e14,869334.210053,96098,87,other
0x145c5dad6033a1de0930dc1ec9ae107fc61f43bc,771552.731593,288,5,nba_game
0xb786b8b6335e77dfad19928313e97753039cb18d,655521.91636,39251,81,mlb_game
0x212954857f5efc138748c33d032a93bf95974222,632895.575863,106309,112,other
0xdf2e12c6a53671d0b08f29d0391728097029ddec,622557.979687,17181,35,other
0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,571664.8594790001,33871,2,crypto_launch
0x7abe2e7eac6f63b1bf4c21eeae71b03e9bd9b47e,552762.27878,2458,37,mlb_game
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,551126.6124235,78505,112,other
0x011f8c29ed82101e0d3dbbbc65821f495303b3df,538752.5882930001,455,2,ufc_fight
0xae363845352952cdea784f581e9ee99a219c8fb5,476300.6750760001,6391,37,nba_game
0xf5201f998333d228dafba270d01d8ff82b2c0637,455582.6546015,26997,62,tennis_tour
0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009,450450.11684300005,48739,59,mlb_game
0xfba6af103a629a538664136a418300146d2a375c,450181.35789600003,11323,37,esports_match&mlb_game
0xe38ef5d1b91f3450283f0817d33d75d19aa8c29d,418773.95743199997,2812,35,mlb_game
0x31519628fb5e5aa559d4ba27aa1248810b9f0977,413495.5307665001,17161,58,other
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,388646.35963454115,90478,201,other
0x2adf85be1f25a77ca407cf031bd00d735c05d89c,369424.23634500004,35883,2,crypto_launch
0x4a38e6e0330c2463fb5ac2188a620634039abfe8,351398.90128,14612,3,crypto_launch
0x0d3b10b8eac8b089c6e4a695e65d8e044167c46b,344312.63272799994,235,4,nfl_game
0xefe6520783a28b726c9c492ee13ada80ca011a7d,320740.55980299995,163974,2,other
0x1ff26f9f8a048d4f6fb2e4283f32f6ca64d2dbbd,307165.000924,126,4,nfl_game
0x4e948fa5d984c0077bb8f0d2f8d0f7779f656243,300555.338966,28614,51,other
0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,296232.91117000004,130124,33,crypto_launch
0xa8e0f6cd46306617f7b9d0897fef215fb02f1dd2,288348.470186,1088,12,soccer_game
0x68df8708aadb901618f11abf2471805a66a24815,275893.892894,495,5,nfl_game
0x026985b67ade7ba199698b9d7d0451a22214cb2d,273689.487848,24671,45,soccer_game
0x9066aa36696ef7ad9efbf35ea2b2b5535197c20a,261101.111169,50259,2,crypto_launch
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,251254.510398,5091,19,nhl_game
0x578d665b6dd21abf12a393579699e35a2686fbb3,246947.30272000007,5383,33,nba_game
0x61bf97efc09fc0a6b66432080483fe997be3647e,241979.269915,1161,12,soccer_game
0xf699a6477fa8e385987f8ae6a3657b2e106107e1,237638.28806400002,12813,49,nhl_game
0x6ffb4354cbe6e0f9989e3b55564ec5fb8646a834,233086.91288700004,16354,145,other
0x676146d7f28f2cef63419a60bb1fb4afec5da94f,222975.559483,4794,24,nfl_game
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,220178.860511729,4691,59,us_politics_figures
0x03626d34381b0337387b0e8464c898f772009661,213312.507622,3117,54,us_politics_figures
0x14964aefa2cd7caff7878b3820a690a03c5aa429,201373.49870000005,1010,7,other
0x25a70adc7a3bba135fd043ca2e2d7c84ea8b2f87,198666.26562700002,557,6,soccer_game
0xdbade4c82fb72780a0db9a38f821d8671aba9c95,187759.81426100002,668,15,mlb_game
0x751a2b86cab503496efd325c8344e10159349ea1,174383.58087500007,55109,70,crypto_launch
0xed61f86bb5298d2f27c21c433ce58d80b88a9aa3,172673.397064,6865,37,other
0xafbacaeeda63f31202759eff7f8126e49adfe61b,172604.68096099998,4033,28,other
0x900c83447eb74c3f29f17658e848e2715ca41d7a,165903.106065,17496,20,nfl_game
0x2f09642639aedd6ced432519c1a86e7d52034632,165519.31423800002,1460,22,mlb_game
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,160627.07802700004,7747,79,other
0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,160186.1251800001,10578,28,nfl_game
0x15e06a47d9c665bda1703ff965ea76f8e56e8d86,155974.61831999998,569,10,nba_game
0xd9a0cdd2f18d42f7cf0540d38036c597925288ee,154435.974285,4058,27,mlb_game
0x88712ac5d0f65592fcccb4708523c8fa6ee5830a,150680.98768700002,58601,2,crypto_launch
0x79dbc666f24349bf8f2cc4ef10269b6f60a8fd14,148196.74788600006,65971,2,crypto_launch
0x9b979a065641e8cfde3022a30ed2d9415cf55e12,147547.64352050002,23894,98,other
0x889e7f0464c72eb8cda1525ebc12b6aaba9d09e0,144718.96661499998,2186,32,other
0x2ff0e36eb9632a47c3eb75224bba1f141a6346e3,144596.76805799996,15408,29,nba_game
0xb744f56635b537e859152d14b022af5afe485210,141666.61055899994,926,5,nfl_game
0xf5f232033c51448e17ced9f2ff7c91b78b620234,141490.46766,339,7,mlb_game
0x96e17ba97e081732a552f410eb35ee972cad50aa,138605.80094800002,360,6,other
0x9155e8cf81a3fb557639d23d43f1528675bcfcad,137176.23919000002,287253,2,crypto_launch
0x7d5c8d502cdc2084d523d0138c1a2ac3165b0182,136140.986508,650,15,nba_game
0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,136108.370314,359,7,other
0xa983066e11b370eab9b78808fc413d4ec67646a3,135715.867484,1904,11,other
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,133715.77368,4532,53,other
0x4dbe11fc252748b990b90c9b76d61b5e1183af34,132957.9537095,4807,40,mlb_game
0x39932ca2b7a1b8ab6cbf0b8f7419261b950ccded,132719.080824,2670,25,esports_match&geopolitics_conflict
0x43372356634781eea88d61bbdd7824cdce958882,130026.06076932503,39018,174,other
0xd218e474776403a330142299f7796e8ba32eb5c9,128690.72396300005,149655,246,other
0x02295cb6e8c96e8e9c66044d0f102438cd81ea6c,128602.696867,2282,11,mlb_game
0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,126199.99887200003,95711,26,crypto_launch
0x51393c00184b39182f09a8a62b8549642e69a8db,125530.60216100003,4225,34,other
0x7523cafcee7bcf2db9a79d80e0d79b88a9a54c4c,123227.639053,1201,25,us_politics_events
0x325f64edd42ac179213e12bc2a8c4f00764dd8ac,119766.3775135,35582,82,soccer_game
0x2fe6d3037aab8ca66fc3a43918d9028a601aab9d,119058.93461699999,3552,28,nfl_game
0x7ee1b64be7016b0b0234ab6cabcaa689fd18dae8,117067.61246500007,200,5,mlb_game&nhl_game
0xccf25be5f62cb1e2fbdc6b0392aa50584e6e41b7,115039.878872,5329,19,nba_game
0x65e4246d770fd503ea97caa47e84db7fb5aba3bd,114786.475376,396,5,mlb_game&nfl_game
0x2cc0cf0cc582efde79f3f9fc2b0cd7fa5eadd2d0,113290.68209999999,41,3,esports_match&nba_game
0xd9e0aaca471f489be338fd0f91a26e8669a805f2,113223.1139995,104453,48,other
0x6f06f9436fbc17cdd396e5943a14865065c5515a,112740.81017499999,58844,2,crypto_launch
0xd38ad20037839959d89165cf448568d584b28d26,111865.03454399998,150,5,other
0xce1fe309904af559527b524cd92f3c58904441a9,111137.508858,399,6,mlb_game
0xe5b0a2b38390fd47bb7174580e7c40c0bc81be26,110806.971274,198,3,esports_match
0x20cc8d7e69a24d156cf8c17d32152a536befebc0,110480.09275,8987,25,other
0xbde33ac3839672f1bd3fecfc0271ad95f07c4a49,110247.05209000001,497,6,esports_match
0x12d693e52701abf02785355c5cb060f16500dbbc,109705.92866300001,3481,30,mlb_game
0x5ba61105b276b4e793d0b5a5d773b78186720f07,108684.17582,1722,25,other
0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,108568.23756800001,515,3,nba_game
0x71cd52a9bf9121cf8376ba13999468f5d659912d,105434.835584,4158,43,other
0x1638095947833f43a732e0da2ca9c3548887339b,104882.377685,663,11,soccer_game
0xa8154b1b093950202bac26899c88c37ea8e9a3c3,104303.90496700002,4607,55,crypto_launch
0x29bfd318d0cdffbbb9943e7ea3c5fac570c225b0,103844.08063550002,2819,25,nfl_game
0xd42f6a1634a3707e27cbae14ca966068e5d1047d,103083.37356750002,73702,194,us_politics_events
0x2a1441dc244432d268a103fd7d4a5559813f0762,103010.65737500001,6306,19,tennis_tour
0x6b7c75862e64d6e976d2c08ad9f9b54add6c5f83,101604.5726835,32080,76,other
0x5d9d41132e4b5ae88a9d5756c7c7e3ebb1b202c7,101432.31975300005,669,9,mlb_game
0x781caf04d98a281712caf1677877c442789fdb68,101052.67850200001,34976,80,nfl_game
0x9a753d12065a8143ac69ea1732f67daab67b4347,100717.969117,12473,38,nfl_game&nhl_game
0x79ed692f072adcee0972888f2e4dd130c25121ab,99708.51696,15,1,other
0x02547dd8455167296eb872d47cbf88de0d1434b3,98747.034946,320,7,esports_match
0xf98b622967de1bfc84585ea7abdf1f9199a3bfc5,98648.152426,17803,8,crypto_launch
0x821d0fcf5643c18c663c8960bf79fdbc9f6d0a01,98584.729616,1011,19,nfl_game
0xfeb581080aee6dc26c264a647b30a9cd44d5a393,98161.871953,10567,22,crypto_launch
0x94a16d28320dca00e581e19011e60c321dcfec2f,97455.970508,2076,22,esports_match
0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,96893.5790757201,10922,93,us_politics_events&us_politics_figures
0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf,96611.670466,5049,2,other
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,96578.99682200003,2882,55,us_politics_events&us_politics_figures
0xdbb9b3616f733e19278d1ca6f3207a8344b5ed8d,94455.15170400002,20035,80,mlb_game
0xfb79181a9d9dcaceda40803c0aeb55f6c58ec2c6,93992.67297,2328,18,soccer_game
0xfefb4ab20c207f11278c222e5276546727f74b5d,93807.07878899999,25603,72,other
0x45d77f9e9a3215fa5aaf74888ba22348c340bc74,93747.158395,9,1,other
