strategy_id,family,category,market,lookback_d,holding_d,weighting,universe,tier,shortable,gross_sharpe,ann_turnover_x,cost_drag_sr,net_cost_sharpe,noise_floor,net_deflated_sharpe,t_naive,t_deflated,survives_95,survives_strict
Commodity multi-fact|commodity_fut|L250|H60|vol_|all,Commodity multi-factor combo,futures,commodity_fut,250,60,vol_scaled,all,A,True,1.559,5.2,0.017,1.542,0.819,0.723,5.34,2.5,True,True
Commodity multi-fact|index_fut|L10|H10|equa|all,Commodity multi-factor combo,futures,index_fut,10,10,equal,all,A,True,1.554,12.7,0.028,1.525,0.819,0.706,5.28,2.45,True,False
Commodity multi-fact|commodity_fut|L20|H60|equa|top300,Commodity multi-factor combo,futures,commodity_fut,20,60,equal,top300,A,True,1.524,5.2,0.017,1.507,0.819,0.688,5.22,2.38,True,False
Commodity multi-fact|commodity_fut|L250|H10|vol_|all,Commodity multi-factor combo,futures,commodity_fut,250,10,vol_scaled,all,A,True,1.543,12.7,0.042,1.501,0.819,0.682,5.2,2.36,True,False
Commodity multi-fact|commodity_fut|L120|H5|equa|liquid_,Commodity multi-factor combo,futures,commodity_fut,120,5,equal,liquid_top50pct,A,True,1.559,18.0,0.06,1.499,0.819,0.68,5.19,2.35,True,False
Commodity multi-fact|commodity_fut|L60|H20|equa|all,Commodity multi-factor combo,futures,commodity_fut,60,20,equal,all,A,True,1.506,9.0,0.03,1.476,0.819,0.657,5.11,2.28,True,False
Commodity multi-fact|index_fut|L250|H10|equa|ex_smal,Commodity multi-factor combo,futures,index_fut,250,10,equal,ex_small30,A,True,1.459,12.7,0.028,1.431,0.819,0.612,4.96,2.12,True,False
Commodity multi-fact|index_fut|L60|H20|vol_|ex_smal,Commodity multi-factor combo,futures,index_fut,60,20,vol_scaled,ex_small30,A,True,1.416,9.0,0.02,1.396,0.819,0.577,4.83,2.0,True,False
Commodity multi-fact|index_fut|L60|H5|equa|all,Commodity multi-factor combo,futures,index_fut,60,5,equal,all,A,True,1.432,18.0,0.04,1.392,0.819,0.573,4.82,1.99,True,False
Commodity multi-fact|index_fut|L10|H10|rank|ex_smal,Commodity multi-factor combo,futures,index_fut,10,10,rank,ex_small30,A,True,1.414,12.7,0.028,1.385,0.819,0.566,4.8,1.96,True,False
Commodity basis-mome|index_fut|L20|H10|vol_|top300,Commodity basis-momentum,futures,index_fut,20,10,vol_scaled,top300,A,True,1.381,11.3,0.025,1.356,0.819,0.537,4.7,1.86,False,False
Commodity basis-mome|commodity_fut|L20|H10|valu|top300,Commodity basis-momentum,futures,commodity_fut,20,10,value,top300,A,True,1.377,11.3,0.038,1.339,0.819,0.52,4.64,1.8,False,False
Commodity basis-mome|commodity_fut|L250|H20|equa|top300,Commodity basis-momentum,futures,commodity_fut,250,20,equal,top300,A,True,1.366,8.0,0.027,1.339,0.819,0.52,4.64,1.8,False,False
Commodity multi-fact|commodity_fut|L60|H5|valu|liquid_,Commodity multi-factor combo,futures,commodity_fut,60,5,value,liquid_top50pct,A,True,1.392,18.0,0.06,1.332,0.819,0.513,4.61,1.78,False,False
Commodity multi-fact|index_fut|L120|H20|equa|liquid_,Commodity multi-factor combo,futures,index_fut,120,20,equal,liquid_top50pct,A,True,1.311,9.0,0.02,1.291,0.819,0.472,4.47,1.63,False,False
Commodity multi-fact|index_fut|L20|H10|equa|ex_smal,Commodity multi-factor combo,futures,index_fut,20,10,equal,ex_small30,A,True,1.309,12.7,0.028,1.281,0.819,0.462,4.44,1.6,False,False
Commodity basis-mome|commodity_fut|L20|H10|equa|top300,Commodity basis-momentum,futures,commodity_fut,20,10,equal,top300,A,True,1.313,11.3,0.038,1.276,0.819,0.457,4.42,1.58,False,False
Commodity multi-fact|commodity_fut|L10|H10|rank|top300,Commodity multi-factor combo,futures,commodity_fut,10,10,rank,top300,A,True,1.307,12.7,0.042,1.264,0.819,0.445,4.38,1.54,False,False
Commodity multi-fact|commodity_fut|L10|H10|valu|ex_smal,Commodity multi-factor combo,futures,commodity_fut,10,10,value,ex_small30,A,True,1.305,12.7,0.042,1.262,0.819,0.443,4.37,1.54,False,False
Commodity multi-fact|index_fut|L120|H60|valu|all,Commodity multi-factor combo,futures,index_fut,120,60,value,all,A,True,1.263,5.2,0.012,1.251,0.819,0.432,4.33,1.5,False,False
Commodity basis-mome|index_fut|L20|H20|vol_|liquid_,Commodity basis-momentum,futures,index_fut,20,20,vol_scaled,liquid_top50pct,A,True,1.249,8.0,0.018,1.231,0.819,0.412,4.26,1.43,False,False
Commodity multi-fact|index_fut|L60|H5|rank|liquid_,Commodity multi-factor combo,futures,index_fut,60,5,rank,liquid_top50pct,A,True,1.269,18.0,0.04,1.229,0.819,0.41,4.26,1.42,False,False
Commodity multi-fact|index_fut|L250|H60|valu|all,Commodity multi-factor combo,futures,index_fut,250,60,value,all,A,True,1.23,5.2,0.012,1.218,0.819,0.399,4.22,1.38,False,False
Commodity multi-fact|commodity_fut|L20|H1|rank|top300,Commodity multi-factor combo,futures,commodity_fut,20,1,rank,top300,A,True,1.352,40.2,0.134,1.218,0.819,0.399,4.22,1.38,False,False
Commodity multi-fact|commodity_fut|L20|H1|vol_|top300,Commodity multi-factor combo,futures,commodity_fut,20,1,vol_scaled,top300,A,True,1.346,40.2,0.134,1.211,0.819,0.392,4.2,1.36,False,False
Commodity basis-mome|index_fut|L120|H20|vol_|all,Commodity basis-momentum,futures,index_fut,120,20,vol_scaled,all,A,True,1.222,8.0,0.018,1.204,0.819,0.385,4.17,1.33,False,False
Commodity basis-mome|commodity_fut|L20|H5|vol_|top300,Commodity basis-momentum,futures,commodity_fut,20,5,vol_scaled,top300,A,True,1.249,16.0,0.053,1.196,0.819,0.377,4.14,1.31,False,False
Commodity multi-fact|commodity_fut|L20|H1|rank|liquid_,Commodity multi-factor combo,futures,commodity_fut,20,1,rank,liquid_top50pct,A,True,1.3,40.2,0.134,1.166,0.819,0.347,4.04,1.2,False,False
Commodity multi-fact|commodity_fut|L20|H5|rank|top300,Commodity multi-factor combo,futures,commodity_fut,20,5,rank,top300,A,True,1.226,18.0,0.06,1.166,0.819,0.347,4.04,1.2,False,False
Commodity multi-fact|index_fut|L60|H1|vol_|liquid_,Commodity multi-factor combo,futures,index_fut,60,1,vol_scaled,liquid_top50pct,A,True,1.248,40.2,0.089,1.159,0.819,0.34,4.01,1.18,False,False
Commodity multi-fact|index_fut|L20|H60|equa|ex_smal,Commodity multi-factor combo,futures,index_fut,20,60,equal,ex_small30,A,True,1.171,5.2,0.012,1.16,0.819,0.34,4.02,1.18,False,False
Commodity basis-mome|index_fut|L5|H20|equa|top300,Commodity basis-momentum,futures,index_fut,5,20,equal,top300,A,True,1.171,8.0,0.018,1.154,0.819,0.334,4.0,1.16,False,False
Commodity multi-fact|index_fut|L20|H10|vol_|ex_smal,Commodity multi-factor combo,futures,index_fut,20,10,vol_scaled,ex_small30,A,True,1.171,12.7,0.028,1.143,0.819,0.324,3.96,1.12,False,False
Commodity curve mome|index_fut|L60|H20|valu|liquid_,Commodity curve momentum,futures,index_fut,60,20,value,liquid_top50pct,A,True,1.153,8.0,0.018,1.135,0.819,0.316,3.93,1.09,False,False
Commodity multi-fact|commodity_fut|L120|H20|rank|liquid_,Commodity multi-factor combo,futures,commodity_fut,120,20,rank,liquid_top50pct,A,True,1.162,9.0,0.03,1.132,0.819,0.313,3.92,1.09,False,False
Commodity curve mome|index_fut|L120|H20|equa|all,Commodity curve momentum,futures,index_fut,120,20,equal,all,A,True,1.148,8.0,0.018,1.13,0.819,0.311,3.91,1.08,False,False
Commodity TS-momentu|index_fut|L120|H10|equa|all,Commodity TS-momentum,futures,index_fut,120,10,equal,all,A,True,1.139,14.1,0.031,1.108,0.819,0.289,3.84,1.0,False,False
Commodity multi-fact|index_fut|L60|H1|rank|all,Commodity multi-factor combo,futures,index_fut,60,1,rank,all,A,True,1.189,40.2,0.089,1.1,0.819,0.281,3.81,0.97,False,False
Commodity basis-mome|index_fut|L5|H5|rank|ex_smal,Commodity basis-momentum,futures,index_fut,5,5,rank,ex_small30,A,True,1.109,16.0,0.036,1.073,0.819,0.254,3.72,0.88,False,False
Short straddle/stran|50ETF_option|L250|H60|rank|ex_smal,Short straddle/strangle (50ETF),options,50ETF_option,250,60,rank,ex_small30,B,True,1.233,13.9,0.162,1.072,0.819,0.253,3.71,0.88,False,False
Commodity basis-mome|index_fut|L20|H20|valu|top300,Commodity basis-momentum,futures,index_fut,20,20,value,top300,A,True,1.089,8.0,0.018,1.071,0.819,0.252,3.71,0.87,False,False
"Value (E/P, CH-3 VMG|HK_equity|L10|H5|valu|liquid_","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,10,5,value,liquid_top50pct,A,True,1.163,8.0,0.098,1.065,0.819,0.246,3.69,0.85,False,False
Commodity basis-mome|commodity_fut|L5|H5|equa|all,Commodity basis-momentum,futures,commodity_fut,5,5,equal,all,A,True,1.116,16.0,0.053,1.063,0.819,0.244,3.68,0.84,False,False
"Value (E/P, CH-3 VMG|A_share|L10|H10|vol_|liquid_","Value (E/P, CH-3 VMG)",equity_factor,A_share,10,10,vol_scaled,liquid_top50pct,A,True,1.118,5.7,0.057,1.061,0.819,0.242,3.68,0.84,False,False
Commodity multi-fact|index_fut|L120|H20|rank|ex_smal,Commodity multi-factor combo,futures,index_fut,120,20,rank,ex_small30,A,True,1.079,9.0,0.02,1.059,0.819,0.239,3.67,0.83,False,False
Commodity multi-fact|index_fut|L20|H10|valu|liquid_,Commodity multi-factor combo,futures,index_fut,20,10,value,liquid_top50pct,A,True,1.085,12.7,0.028,1.057,0.819,0.238,3.66,0.82,False,False
Commodity basis-mome|commodity_fut|L60|H5|vol_|ex_smal,Commodity basis-momentum,futures,commodity_fut,60,5,vol_scaled,ex_small30,A,True,1.106,16.0,0.053,1.053,0.819,0.234,3.65,0.81,False,False
Commodity multi-fact|index_fut|L60|H10|vol_|all,Commodity multi-factor combo,futures,index_fut,60,10,vol_scaled,all,A,True,1.076,12.7,0.028,1.047,0.819,0.228,3.63,0.79,False,False
Commodity curve mome|commodity_fut|L60|H60|vol_|liquid_,Commodity curve momentum,futures,commodity_fut,60,60,vol_scaled,liquid_top50pct,A,True,1.061,4.6,0.015,1.046,0.819,0.227,3.62,0.79,False,False
Commodity XS-momentu|commodity_fut|L120|H20|rank|top300,Commodity XS-momentum,futures,commodity_fut,120,20,rank,top300,A,True,1.078,10.0,0.033,1.045,0.819,0.226,3.62,0.78,False,False
"Value (E/P, CH-3 VMG|A_share|L10|H60|valu|ex_smal","Value (E/P, CH-3 VMG)",equity_factor,A_share,10,60,value,ex_small30,A,True,1.066,2.3,0.023,1.043,0.819,0.224,3.61,0.78,False,False
Commodity XS-momentu|index_fut|L20|H5|valu|all,Commodity XS-momentum,futures,index_fut,20,5,value,all,A,True,1.084,20.0,0.044,1.039,0.819,0.22,3.6,0.76,False,False
Commodity basis-mome|commodity_fut|L10|H10|rank|top300,Commodity basis-momentum,futures,commodity_fut,10,10,rank,top300,A,True,1.077,11.3,0.038,1.039,0.819,0.22,3.6,0.76,False,False
"Value (E/P, CH-3 VMG|HK_equity|L10|H10|vol_|liquid_","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,10,10,vol_scaled,liquid_top50pct,A,True,1.102,5.7,0.069,1.033,0.819,0.214,3.58,0.74,False,False
"Value (E/P, CH-3 VMG|HK_equity|L10|H20|rank|liquid_","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,10,20,rank,liquid_top50pct,A,True,1.082,4.0,0.049,1.033,0.819,0.214,3.58,0.74,False,False
"Value (E/P, CH-3 VMG|HK_equity|L250|H10|valu|liquid_","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,250,10,value,liquid_top50pct,A,True,1.097,5.7,0.069,1.028,0.819,0.209,3.56,0.72,False,False
Short straddle/stran|300ETF_option|L60|H60|equa|liquid_,Short straddle/strangle (50ETF),options,300ETF_option,60,60,equal,liquid_top50pct,B,True,1.178,13.9,0.162,1.016,0.819,0.197,3.52,0.68,False,False
Commodity basis-mome|index_fut|L120|H60|rank|liquid_,Commodity basis-momentum,futures,index_fut,120,60,rank,liquid_top50pct,A,True,1.022,4.6,0.01,1.012,0.819,0.193,3.51,0.67,False,False
Commodity basis-mome|commodity_fut|L5|H60|equa|top300,Commodity basis-momentum,futures,commodity_fut,5,60,equal,top300,A,True,1.022,4.6,0.015,1.007,0.819,0.188,3.49,0.65,False,False
Commodity multi-fact|commodity_fut|L60|H60|rank|all,Commodity multi-factor combo,futures,commodity_fut,60,60,rank,all,A,True,1.025,5.2,0.017,1.008,0.819,0.188,3.49,0.65,False,False
Commodity curve mome|commodity_fut|L60|H60|valu|liquid_,Commodity curve momentum,futures,commodity_fut,60,60,value,liquid_top50pct,A,True,1.022,4.6,0.015,1.007,0.819,0.188,3.49,0.65,False,False
"Value (E/P, CH-3 VMG|A_share|L120|H5|rank|liquid_","Value (E/P, CH-3 VMG)",equity_factor,A_share,120,5,rank,liquid_top50pct,A,True,1.086,8.0,0.08,1.006,0.819,0.186,3.48,0.65,False,False
Commodity XS-momentu|index_fut|L60|H60|rank|all,Commodity XS-momentum,futures,index_fut,60,60,rank,all,A,True,1.011,5.8,0.013,0.998,0.819,0.179,3.46,0.62,False,False
Commodity basis-mome|index_fut|L20|H60|vol_|liquid_,Commodity basis-momentum,futures,index_fut,20,60,vol_scaled,liquid_top50pct,A,True,1.002,4.6,0.01,0.992,0.819,0.172,3.43,0.6,False,False
"Value (E/P, CH-3 VMG|HK_equity|L60|H60|valu|ex_smal","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,60,60,value,ex_small30,A,True,1.017,2.3,0.028,0.989,0.819,0.17,3.43,0.59,False,False
Commodity TS-momentu|commodity_fut|L250|H10|valu|top300,Commodity TS-momentum,futures,commodity_fut,250,10,value,top300,A,True,1.026,14.1,0.047,0.979,0.819,0.16,3.39,0.56,False,False
Short straddle/stran|50ETF_option|L20|H60|vol_|all,Short straddle/strangle (50ETF),options,50ETF_option,20,60,vol_scaled,all,B,True,1.14,13.9,0.162,0.978,0.819,0.159,3.39,0.55,False,False
Options variance ris|50ETF_option|L5|H20|valu|top300,Options variance risk premium,options,50ETF_option,5,20,value,top300,B,True,1.257,24.0,0.28,0.977,0.819,0.158,3.38,0.55,False,False
"Value (E/P, CH-3 VMG|A_share|L20|H20|vol_|all","Value (E/P, CH-3 VMG)",equity_factor,A_share,20,20,vol_scaled,all,A,True,1.015,4.0,0.04,0.975,0.819,0.156,3.38,0.54,False,False
Commodity basis-mome|index_fut|L60|H10|vol_|all,Commodity basis-momentum,futures,index_fut,60,10,vol_scaled,all,A,True,0.999,11.3,0.025,0.974,0.819,0.155,3.37,0.54,False,False
"Value (E/P, CH-3 VMG|HK_equity|L20|H10|rank|all","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,20,10,rank,all,A,True,1.042,5.7,0.069,0.973,0.819,0.154,3.37,0.53,False,False
Commodity TS-momentu|index_fut|L20|H20|rank|liquid_,Commodity TS-momentum,futures,index_fut,20,20,rank,liquid_top50pct,A,True,0.994,10.0,0.022,0.972,0.819,0.152,3.37,0.53,False,False
Commodity TS-momentu|index_fut|L10|H10|vol_|liquid_,Commodity TS-momentum,futures,index_fut,10,10,vol_scaled,liquid_top50pct,A,True,1.001,14.1,0.031,0.97,0.819,0.151,3.36,0.52,False,False
Commodity multi-fact|commodity_fut|L250|H5|rank|all,Commodity multi-factor combo,futures,commodity_fut,250,5,rank,all,A,True,1.02,18.0,0.06,0.96,0.819,0.141,3.33,0.49,False,False
Commodity TS-momentu|commodity_fut|L120|H5|rank|liquid_,Commodity TS-momentum,futures,commodity_fut,120,5,rank,liquid_top50pct,A,True,1.019,20.0,0.067,0.952,0.819,0.133,3.3,0.46,False,False
Commodity multi-fact|commodity_fut|L5|H1|equa|top300,Commodity multi-factor combo,futures,commodity_fut,5,1,equal,top300,A,True,1.084,40.2,0.134,0.95,0.819,0.13,3.29,0.45,False,False
Commodity curve mome|index_fut|L120|H20|rank|liquid_,Commodity curve momentum,futures,index_fut,120,20,rank,liquid_top50pct,A,True,0.964,8.0,0.018,0.946,0.819,0.127,3.28,0.44,False,False
Commodity multi-fact|index_fut|L20|H1|equa|ex_smal,Commodity multi-factor combo,futures,index_fut,20,1,equal,ex_small30,A,True,1.035,40.2,0.089,0.946,0.819,0.127,3.28,0.44,False,False
"Value (E/P, CH-3 VMG|A_share|L120|H20|valu|all","Value (E/P, CH-3 VMG)",equity_factor,A_share,120,20,value,all,A,True,0.984,4.0,0.04,0.944,0.819,0.125,3.27,0.43,False,False
Commodity multi-fact|index_fut|L250|H5|equa|all,Commodity multi-factor combo,futures,index_fut,250,5,equal,all,A,True,0.983,18.0,0.04,0.943,0.819,0.124,3.27,0.43,False,False
Commodity basis-mome|index_fut|L5|H5|rank|top300,Commodity basis-momentum,futures,index_fut,5,5,rank,top300,A,True,0.974,16.0,0.036,0.939,0.819,0.12,3.25,0.41,False,False
Commodity curve mome|index_fut|L120|H5|valu|ex_smal,Commodity curve momentum,futures,index_fut,120,5,value,ex_small30,A,True,0.971,16.0,0.036,0.935,0.819,0.116,3.24,0.4,False,False
ML cross-sectional (|A_share|L10|H60|valu|ex_smal,ML cross-sectional (alpha101),ml_equity,A_share,10,60,value,ex_small30,C,True,1.047,11.5,0.115,0.932,0.819,0.113,3.23,0.39,False,False
Commodity curve mome|commodity_fut|L20|H5|valu|all,Commodity curve momentum,futures,commodity_fut,20,5,value,all,A,True,0.98,16.0,0.053,0.927,0.819,0.107,3.21,0.37,False,False
Commodity XS-momentu|commodity_fut|L10|H60|vol_|ex_smal,Commodity XS-momentum,futures,commodity_fut,10,60,vol_scaled,ex_small30,A,True,0.944,5.8,0.019,0.925,0.819,0.106,3.2,0.37,False,False
Commodity basis-mome|commodity_fut|L5|H20|equa|ex_smal,Commodity basis-momentum,futures,commodity_fut,5,20,equal,ex_small30,A,True,0.949,8.0,0.027,0.922,0.819,0.103,3.19,0.36,False,False
Commodity TS-momentu|index_fut|L10|H20|valu|liquid_,Commodity TS-momentum,futures,index_fut,10,20,value,liquid_top50pct,A,True,0.935,10.0,0.022,0.913,0.819,0.094,3.16,0.33,False,False
Commodity XS-momentu|index_fut|L10|H5|rank|top300,Commodity XS-momentum,futures,index_fut,10,5,rank,top300,A,True,0.952,20.0,0.044,0.908,0.819,0.089,3.15,0.31,False,False
Options variance ris|50ETF_option|L60|H10|equa|top300,Options variance risk premium,options,50ETF_option,60,10,equal,top300,B,True,1.303,33.9,0.396,0.907,0.819,0.088,3.14,0.3,False,False
Commodity TS-momentu|index_fut|L60|H60|vol_|liquid_,Commodity TS-momentum,futures,index_fut,60,60,vol_scaled,liquid_top50pct,A,True,0.92,5.8,0.013,0.907,0.819,0.088,3.14,0.31,False,False
Commodity basis-mome|commodity_fut|L10|H1|valu|liquid_,Commodity basis-momentum,futures,commodity_fut,10,1,value,liquid_top50pct,A,True,1.024,35.8,0.119,0.904,0.819,0.085,3.13,0.3,False,False
Commodity XS-momentu|index_fut|L60|H60|valu|liquid_,Commodity XS-momentum,futures,index_fut,60,60,value,liquid_top50pct,A,True,0.916,5.8,0.013,0.904,0.819,0.084,3.13,0.29,False,False
ML cross-sectional (|A_share|L5|H60|valu|liquid_,ML cross-sectional (alpha101),ml_equity,A_share,5,60,value,liquid_top50pct,C,True,1.016,11.5,0.115,0.901,0.819,0.082,3.12,0.28,False,False
Commodity basis-mome|index_fut|L20|H5|vol_|ex_smal,Commodity basis-momentum,futures,index_fut,20,5,vol_scaled,ex_small30,A,True,0.93,16.0,0.036,0.894,0.819,0.075,3.1,0.26,False,False
Commodity multi-fact|commodity_fut|L60|H10|rank|top300,Commodity multi-factor combo,futures,commodity_fut,60,10,rank,top300,A,True,0.935,12.7,0.042,0.893,0.819,0.074,3.09,0.25,False,False
Commodity basis-mome|commodity_fut|L20|H5|vol_|all,Commodity basis-momentum,futures,commodity_fut,20,5,vol_scaled,all,A,True,0.946,16.0,0.053,0.893,0.819,0.074,3.09,0.25,False,False
Commodity TS-momentu|commodity_fut|L120|H60|equa|ex_smal,Commodity TS-momentum,futures,commodity_fut,120,60,equal,ex_small30,A,True,0.906,5.8,0.019,0.887,0.819,0.068,3.07,0.24,False,False
Commodity TS-momentu|index_fut|L10|H5|vol_|top300,Commodity TS-momentum,futures,index_fut,10,5,vol_scaled,top300,A,True,0.926,20.0,0.044,0.881,0.819,0.062,3.05,0.22,False,False
"Value (E/P, CH-3 VMG|A_share|L120|H60|vol_|ex_smal","Value (E/P, CH-3 VMG)",equity_factor,A_share,120,60,vol_scaled,ex_small30,A,True,0.903,2.3,0.023,0.88,0.819,0.061,3.05,0.21,False,False
Commodity carry/basi|index_fut|L20|H10|valu|all,Commodity carry/basis,futures,index_fut,20,10,value,all,A,True,0.897,8.5,0.019,0.878,0.819,0.059,3.04,0.2,False,False
Mispricing composite|A_share|L120|H60|valu|liquid_,Mispricing composite (SY),equity_factor,A_share,120,60,value,liquid_top50pct,B,False,0.923,4.6,0.046,0.877,0.819,0.058,3.04,0.2,False,False
Commodity multi-fact|index_fut|L10|H5|vol_|all,Commodity multi-factor combo,futures,index_fut,10,5,vol_scaled,all,A,True,0.917,18.0,0.04,0.877,0.819,0.058,3.04,0.2,False,False
Commodity carry/basi|commodity_fut|L60|H60|rank|liquid_,Commodity carry/basis,futures,commodity_fut,60,60,rank,liquid_top50pct,A,True,0.888,3.5,0.012,0.876,0.819,0.057,3.04,0.2,False,False
ML cross-sectional (|HK_equity|L20|H60|rank|liquid_,ML cross-sectional (alpha101),ml_equity,HK_equity,20,60,rank,liquid_top50pct,C,True,1.015,11.5,0.141,0.873,0.819,0.054,3.03,0.19,False,False
Commodity carry/basi|commodity_fut|L10|H20|equa|all,Commodity carry/basis,futures,commodity_fut,10,20,equal,all,A,True,0.893,6.0,0.02,0.873,0.819,0.054,3.03,0.19,False,False
Commodity basis-mome|commodity_fut|L120|H1|equa|liquid_,Commodity basis-momentum,futures,commodity_fut,120,1,equal,liquid_top50pct,A,True,0.992,35.8,0.119,0.873,0.819,0.053,3.02,0.19,False,False
Commodity carry/basi|index_fut|L250|H60|rank|top300,Commodity carry/basis,futures,index_fut,250,60,rank,top300,A,True,0.879,3.5,0.008,0.871,0.819,0.052,3.02,0.18,False,False
Commodity basis-mome|commodity_fut|L5|H10|rank|top300,Commodity basis-momentum,futures,commodity_fut,5,10,rank,top300,A,True,0.906,11.3,0.038,0.868,0.819,0.049,3.01,0.17,False,False
Commodity basis-mome|commodity_fut|L60|H60|rank|liquid_,Commodity basis-momentum,futures,commodity_fut,60,60,rank,liquid_top50pct,A,True,0.882,4.6,0.015,0.867,0.819,0.048,3.0,0.17,False,False
Commodity curve mome|index_fut|L60|H1|vol_|all,Commodity curve momentum,futures,index_fut,60,1,vol_scaled,all,A,True,0.946,35.8,0.08,0.866,0.819,0.047,3.0,0.16,False,False
Mispricing composite|A_share|L120|H60|vol_|ex_smal,Mispricing composite (SY),equity_factor,A_share,120,60,vol_scaled,ex_small30,B,False,0.91,4.6,0.046,0.864,0.819,0.045,2.99,0.15,False,False
Commodity carry/basi|index_fut|L120|H5|rank|liquid_,Commodity carry/basis,futures,index_fut,120,5,rank,liquid_top50pct,A,True,0.887,12.0,0.027,0.86,0.819,0.041,2.98,0.14,False,False
Commodity carry/basi|index_fut|L20|H10|rank|ex_smal,Commodity carry/basis,futures,index_fut,20,10,rank,ex_small30,A,True,0.877,8.5,0.019,0.858,0.819,0.039,2.97,0.14,False,False
Commodity basis-mome|commodity_fut|L60|H5|equa|top300,Commodity basis-momentum,futures,commodity_fut,60,5,equal,top300,A,True,0.907,16.0,0.053,0.854,0.819,0.035,2.96,0.12,False,False
Commodity curve mome|commodity_fut|L250|H60|equa|all,Commodity curve momentum,futures,commodity_fut,250,60,equal,all,A,True,0.867,4.6,0.015,0.852,0.819,0.033,2.95,0.11,False,False
Options variance ris|50ETF_option|L250|H20|valu|all,Options variance risk premium,options,50ETF_option,250,20,value,all,B,True,1.132,24.0,0.28,0.852,0.819,0.033,2.95,0.11,False,False
